ID	Description	NES	pvalue	p.adjust
GO:0060047	heart contraction	-1.58580874075192	9.27262409044975e-05	0.0211654470041812
GO:0042692	muscle cell differentiation	-1.54957805523027	9.3449403969601e-05	0.0211654470041812
GO:0046461	neutral lipid catabolic process	-1.99311425441438	9.52170155131211e-05	0.0211654470041812
GO:0046464	acylglycerol catabolic process	-1.99311425441438	9.52170155131211e-05	0.0211654470041812
GO:0050807	regulation of synapse organization	-1.6499122717929	9.84281531624849e-05	0.0211654470041812
GO:0022604	regulation of cell morphogenesis	-1.48899965587672	0.000107191644391652	0.0221363141584062
GO:0061025	membrane fusion	-1.71914782099939	0.000110250780973538	0.0221363141584062
GO:0050906	detection of stimulus involved in sensory perception	-1.75272591425614	0.00011470107765361	0.0221363141584062
GO:0099175	regulation of postsynapse organization	-1.81363703008578	0.000117142137143587	0.0221363141584062
GO:2001257	regulation of cation channel activity	-1.65619894686063	0.000128029832994574	0.0230492594406308
GO:0099072	regulation of postsynaptic membrane neurotransmitter receptor levels	-1.88790335935408	0.00012936563188295	0.0230492594406308
GO:0099177	regulation of trans-synaptic signaling	-1.51114663921524	0.000143827887182965	0.0249141862353602
GO:0071158	positive regulation of cell cycle arrest	1.88371830734031	0.000154929115427658	0.0256060610663403
GO:0001505	regulation of neurotransmitter levels	-1.5229681482832	0.00015603436826827	0.0256060610663403
GO:0050727	regulation of inflammatory response	-1.53427481571514	0.000165294541747768	0.0264301733933098
GO:0050808	synapse organization	-1.52255356910873	0.000171002028913062	0.0266592163075463
GO:0035637	multicellular organismal signaling	-1.61453704607164	0.000185262727979161	0.0279703968746573
GO:0008016	regulation of heart contraction	-1.59663220618099	0.000188383045018539	0.0279703968746573
GO:0019433	triglyceride catabolic process	-1.94065608451051	0.000208452415943588	0.0296346343676355
GO:0007416	synapse assembly	-1.61249356111644	0.000212841052156805	0.0296346343676355
GO:0000819	sister chromatid segregation	1.6660473160985	0.000214429757239047	0.0296346343676355
GO:1903522	regulation of blood circulation	-1.58591087572833	0.000218600574232077	0.0296346343676355
GO:0099601	regulation of neurotransmitter receptor activity	-1.84679024275247	0.000223654538867182	0.0296746745611861
GO:0032412	regulation of ion transmembrane transporter activity	-1.5498882286123	0.00025591413317969	0.0331734263491251
GO:2000134	negative regulation of G1/S transition of mitotic cell cycle	1.73580155596615	0.000260663548926736	0.0331734263491251
GO:0072395	signal transduction involved in cell cycle checkpoint	1.81804124697114	0.000290295051320697	0.0349158443328739
GO:0022898	regulation of transmembrane transporter activity	-1.56425841651755	0.000291152005341475	0.0349158443328739
GO:0036465	synaptic vesicle recycling	-1.80728529682084	0.000291152005341475	0.0349158443328739
GO:1904062	regulation of cation transmembrane transport	-1.5248449300056	0.000312572183454495	0.0367773610570232
GO:0051932	synaptic transmission, GABAergic	-1.86032268344984	0.000322205794259835	0.0372088024630432
GO:2000310	regulation of NMDA receptor activity	-1.91714710796143	0.000328770202007937	0.0372765632676635
GO:1902414	protein localization to cell junction	-1.74340571379346	0.000346377681034284	0.0385716289094607
GO:0018149	peptide cross-linking	-1.89890159194706	0.00036497850248424	0.0399299287981004
GO:0007093	mitotic cell cycle checkpoint	1.68201372767039	0.000377319004597223	0.0402454402495699
GO:0099173	postsynapse organization	-1.62309518719363	0.000380769880488234	0.0402454402495699
GO:0006271	DNA strand elongation involved in DNA replication	1.93843227343553	0.000393359175896404	0.0406106223695478
GO:1902807	negative regulation of cell cycle G1/S phase transition	1.73517142772567	0.000397712998733481	0.0406106223695478
GO:0140029	exocytic process	-1.71153282418484	0.000410424499280557	0.0406106223695478
GO:0048813	dendrite morphogenesis	-1.62134637360624	0.000413311988956072	0.0406106223695478
GO:0048168	regulation of neuronal synaptic plasticity	-1.85238999856258	0.000416786374543146	0.0406106223695478
GO:0000075	cell cycle checkpoint	1.5537901659448	0.000427039957556129	0.040969556543385
GO:1903305	regulation of regulated secretory pathway	-1.63823260863431	0.000441582726112436	0.0417228769702598
GO:0007050	cell cycle arrest	1.57749783846186	0.000448460632116445	0.0417403059981813
GO:2000300	regulation of synaptic vesicle exocytosis	-1.75308891981425	0.000470827534949924	0.0429342400488645
GO:0051004	regulation of lipoprotein lipase activity	-1.90547514834459	0.000475058140373901	0.0429342400488645
GO:0007052	mitotic spindle organization	1.73088489879201	0.000507896784473402	0.0452463478282305
GO:0003015	heart process	-1.55418776553307	0.000528525291188141	0.0464208974063274
