HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Alias symbols	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:6342	KIT	KIT proto-oncogene, receptor tyrosine kinase	Approved	gene with protein product	PBT	CD117, SCFR, C-Kit	4q12	3815	ENSG00000157404	OTTHUMG00000128713	321	Receptor tyrosine kinases
HGNC:17880	LMTK2	lemur tyrosine kinase 2	Approved	gene with protein product		KIAA1079, KPI2, KPI-2, cprk, LMR2, BREK, AATYK2, PPP1R100	7q21.3	22853	ENSG00000164715	OTTHUMG00000154256	321	Receptor tyrosine kinases
HGNC:19295	LMTK3	lemur tyrosine kinase 3	Approved	gene with protein product		KIAA1883, LMR3, TYKLM3, PPP1R101	19q13.33	114783	ENSG00000142235	OTTHUMG00000183312	321	Receptor tyrosine kinases
HGNC:6721	LTK	leukocyte receptor tyrosine kinase	Approved	gene with protein product		TYK1	15q15.1	4058	ENSG00000062524	OTTHUMG00000130339	321	Receptor tyrosine kinases
HGNC:7027	MERTK	MER proto-oncogene, tyrosine kinase	Approved	gene with protein product		mer, RP38, c-Eyk, Tyro12	2q13	10461	ENSG00000153208	OTTHUMG00000131278	321	Receptor tyrosine kinases
HGNC:7029	MET	MET proto-oncogene, receptor tyrosine kinase	Approved	gene with protein product		HGFR, RCCP2, DFNB97	7q31	4233	ENSG00000105976	OTTHUMG00000023299	321	Receptor tyrosine kinases
HGNC:7381	MST1R	macrophage stimulating 1 receptor	Approved	gene with protein product	RON, PTK8, SEA	CDw136, CD136	3p21.31	4486	ENSG00000164078	OTTHUMG00000156709	321	Receptor tyrosine kinases
HGNC:7525	MUSK	muscle associated receptor tyrosine kinase	Approved	gene with protein product			9q31.3	4593	ENSG00000030304	OTTHUMG00000020485	321	Receptor tyrosine kinases
HGNC:8031	NTRK1	neurotrophic receptor tyrosine kinase 1	Approved	gene with protein product		TRK, TRKA, MTC	1q23.1	4914	ENSG00000198400	OTTHUMG00000041304	321	Receptor tyrosine kinases
HGNC:8032	NTRK2	neurotrophic receptor tyrosine kinase 2	Approved	gene with protein product		TRKB	9q21.33	4915	ENSG00000148053	OTTHUMG00000020120	321	Receptor tyrosine kinases
HGNC:8033	NTRK3	neurotrophic receptor tyrosine kinase 3	Approved	gene with protein product		TRKC	15q25.3	4916	ENSG00000140538	OTTHUMG00000148677	321	Receptor tyrosine kinases
HGNC:8803	PDGFRA	platelet derived growth factor receptor alpha	Approved	gene with protein product		CD140a, PDGFR2, GAS9	4q12	5156	ENSG00000134853	OTTHUMG00000128699	321	Receptor tyrosine kinases
HGNC:8804	PDGFRB	platelet derived growth factor receptor beta	Approved	gene with protein product	PDGFR	JTK12, CD140b, PDGFR1	5q32	5159	ENSG00000113721	OTTHUMG00000130053	321	Receptor tyrosine kinases
HGNC:9618	PTK7	protein tyrosine kinase 7 (inactive)	Approved	gene with protein product		CCK4	6p21.1	5754	ENSG00000112655	OTTHUMG00000014721	321	Receptor tyrosine kinases
HGNC:9967	RET	ret proto-oncogene	Approved	gene with protein product	HSCR1, MEN2A, MTC1, MEN2B	PTC, CDHF12, RET51, CDHR16	10q11.21	5979	ENSG00000165731	OTTHUMG00000018024	321	Receptor tyrosine kinases
HGNC:10256	ROR1	receptor tyrosine kinase like orphan receptor 1	Approved	gene with protein product	NTRKR1		1p31.3	4919	ENSG00000185483	OTTHUMG00000009022	321	Receptor tyrosine kinases
HGNC:10257	ROR2	receptor tyrosine kinase like orphan receptor 2	Approved	gene with protein product	NTRKR2, BDB, BDB1		9q22.31	4920	ENSG00000169071	OTTHUMG00000020211	321	Receptor tyrosine kinases
HGNC:10261	ROS1	ROS proto-oncogene 1, receptor tyrosine kinase	Approved	gene with protein product		MCF3, ROS, c-ros-1	6q22.1	6098	ENSG00000047936	OTTHUMG00000016188	321	Receptor tyrosine kinases
HGNC:10481	RYK	receptor like tyrosine kinase	Approved	gene with protein product	JTK5A	D3S3195, RYK1, JTK5	3q22.2	6259	ENSG00000163785	OTTHUMG00000159750	321	Receptor tyrosine kinases
HGNC:18889	STYK1	serine/threonine/tyrosine kinase 1	Approved	gene with protein product		SuRTK106, DKFZp761P1010, NOK	12p13.2	55359	ENSG00000060140	OTTHUMG00000168408	321	Receptor tyrosine kinases
HGNC:11724	TEK	TEK receptor tyrosine kinase	Approved	gene with protein product	VMCM	TIE2, TIE-2, VMCM1, CD202b	9p21.2	7010	ENSG00000120156	OTTHUMG00000019712	321	Receptor tyrosine kinases
HGNC:11809	TIE1	tyrosine kinase with immunoglobulin like and EGF like domains 1	Approved	gene with protein product	TIE	JTK14	1p34.2	7075	ENSG00000066056	OTTHUMG00000007282	321	Receptor tyrosine kinases
HGNC:12446	TYRO3	TYRO3 protein tyrosine kinase	Approved	gene with protein product	RSE	Dtk, Brt, Tif, Sky, Etk-2, Rek	15q15.1	7301	ENSG00000092445	OTTHUMG00000130341	321	Receptor tyrosine kinases
